start	end	text
8180	33640	Quero convidá-los a abrir a palavra de Deus, livro de Gênesis, livro dos começos, primeiro livro de Moisés, chamaram de Gênesis, nós vamos ler capítulo 1, nós vamos do verso 3 até o verso 13, Gênesis capítulo 1 do verso 3 até o verso 13.
34660	63620	Então Deus disse, haja luz e houve luz e Deus viu que a luz era boa e fez separação entre a luz e as trevas, Deus chamou a luz dia e chamou as trevas noite e houve tarde e manhã o primeiro dia e Deus disse, haja um firmamento no meio das águas e separação entre águas e águas e Deus fez o firmamento e a separação entre as águas debaixo do firmamento e as trevas.
64540	89380	E assim aconteceu e Deus chamou ao firmamento os céus, houve tarde e manhã o segundo dia e Deus disse, ajuntem-se as águas debaixo dos céus num só lugar e apareça a porção seca e assim aconteceu, Deus chamou a porção seca terra e ao ajuntamento de águas chamou mares e Deus viu que isso era bom.
89800	93620	E Deus disse que a terra produza relva.
93640	123000	E a terra produziu a relva, ervas que deem sementes e árvores, semente e árvores frutíferas que deem frutos segundo a sua espécie, cuja semente esteja no fruto sobre a terra e assim aconteceu e a terra produziu relva, ervas que davam semente segundo a sua espécie e árvores que davam fruto cuja semente estava nele conforme a sua espécie e Deus viu que isso era bom e houve tarde e manhã o terceiro dia.
123640	134280	Só até aqui a leitura da palavra de Deus, vamos orar mais uma vez pedindo que o nosso Deus nos dê compreensão nesse relato extraordinário dos três primeiros dias da criação.
134960	152840	Ó Deus, diante agora da tua palavra nós pedimos a iluminação do teu Espírito Santo, para que possamos ver a tua majestade, o teu poder, a tua glória revelada aqui, para que tiremos lições importantes, para que entendamos tua vontade para conosco,
153640	162140	pedimos ao Pai que apliques essa palavra no coração de todos que ouvem essa mensagem, em nome de Jesus, amém, amém.
162800	173580	Queridos, essa é a nossa segunda mensagem na série que nós nos propusemos a fazer, livro de Gênesis, capítulo 1 até o capítulo 11, que é a primeira grande parte do livro de Gênesis.
174180	181600	Nós vimos na mensagem anterior que Moisés escreveu o livro de Gênesis juntamente com os demais livros do Pentateuco,
181600	195000	durante aqueles 40 anos que passou no deserto juntamente com o povo de Israel, depois de havê-los tirado do Egito, e mais provavelmente as vésperas de entrar na terra prometida,
195180	204960	pelo menos o livro de Deuteronômio, que é o último dos cinco, ele claramente diz que é o registro das pregações de Moisés nas planícies de Moabe,
205060	211360	do outro lado do Rio Jordão, do lado de cá do Rio Jordão, em frente à cidade de Jericó, antes deles atravessarem.
211600	221180	Então, nós entendemos que foi nessa ocasião, pouco antes, que Moisés compôs o que nós conhecemos como o Pentateuco, e é claro, Gênesis é o primeiro dos cinco.
222260	240280	O alvo de Moisés era reorientar a visão teológica dos israelitas, depois que eles passaram 400 anos no Egito, e aprenderam falsas religiões, aprenderam a visão errada de mundo, conceitos errados sobre a vida,
240360	241580	e agora eles estavam...
241600	252900	E eram prestes a entrar na terra que Deus havia prometido, e que estava ocupada por sete nações, os cananeus, que eram nações pagães, que tinham também falsos deuses,
252900	258200	e também ideias erradas a respeito do mundo, da origem do mundo e de todas as coisas.
258660	268340	Então, era preciso que houvesse esse realinhamento dos filhos de Israel para o verdadeiro Deus, a verdadeira visão de mundo.
269020	271380	E o alvo de Moisés, portanto...
271600	282620	O alvo de Moisés, portanto, nesses cinco livros, particularmente no livro de Gênesis, é primeiro mostrar a superioridade do Deus de Israel aos deuses do Egito e aos deuses dos cananeus, que estavam diante deles.
283240	292980	Também explicar a origem de certas leis que Deus havia dado, que poderiam parecer estranhas, como, por exemplo, descansar depois de seis dias de trabalho,
293560	300360	ou porque o casamento tem que ser casamento monogâmico, do homem com a mulher, e por aí vai.
300520	301520	Então, Moisés...
301600	306480	Moisés queria explicar a origem dessas leis que Deus estava passando para a nação.
